V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,next_survey,uid,instructions,item(1),item(2),item(3),item(4),item(5),item(6),item(7),item(8),item(9),item(10),item(11),item(12),item(13),item(14),item(15),item(16),item(17),item(18),item(19),item(20),LocationLatitude,LocationLongitude,LocationAccuracy,
R_6RJoaQR72ZVvuZr,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-05 15:52:03,2016-10-05 15:53:53,1,,16100514_1-g1,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1475643161371,""offset"":1475643163446,""rt"":2075,""response"":""3""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1475643188365,""offset"":1475643194646,""rt"":6281,""response"":""4""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475643228393,""offset"":1475643230823,""rt"":2430,""response"":""4""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475643221171,""offset"":1475643223830,""rt"":2659,""response"":""4""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475643216541,""offset"":1475643220279,""rt"":3738,""response"":""5""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475643172778,""offset"":1475643174757,""rt"":1979,""response"":""4""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475643231710,""offset"":1475643234999,""rt"":3289,""response"":""2""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475643181842,""offset"":1475643187446,""rt"":5604,""response"":""2""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475643149851,""offset"":1475643152277,""rt"":2426,""response"":""5""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475643195533,""offset"":1475643198663,""rt"":3130,""response"":""4""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475643144031,""offset"":1475643148949,""rt"":4918,""response"":""2""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475643168668,""offset"":1475643171861,""rt"":3193,""response"":""4""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475643224727,""offset"":1475643227478,""rt"":2751,""response"":""2""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475643199620,""offset"":1475643204790,""rt"":5170,""response"":""3""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475643164371,""offset"":1475643167733,""rt"":3362,""response"":""3""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475643175653,""offset"":1475643180950,""rt"":5297,""response"":""1""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1475643205720,""offset"":1475643209686,""rt"":3966,""response"":""2""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475643129401,""offset"":1475643142902,""rt"":13501,""response"":""4""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475643210613,""offset"":1475643215607,""rt"":4994,""response"":""2""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1475643153178,""offset"":1475643160486,""rt"":7308,""response"":""4""}",-33.86149597168,151.20550537109,-1,
R_3oZqBeXOEPOChR0,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-07 10:33:06,2016-10-07 10:34:57,1,,16100709_1-g2,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1475796846946,""offset"":1475796851227,""rt"":4281,""response"":""2""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1475796894112,""offset"":1475796898972,""rt"":4860,""response"":""2""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475796805272,""offset"":1475796817414,""rt"":12142,""response"":""4""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475796903514,""offset"":1475796904948,""rt"":1434,""response"":""3""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475796861242,""offset"":1475796863852,""rt"":2610,""response"":""3""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475796839801,""offset"":1475796841226,""rt"":1425,""response"":""3""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475796891013,""offset"":1475796893235,""rt"":2222,""response"":""3""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475796842260,""offset"":1475796846027,""rt"":3767,""response"":""3""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475796825037,""offset"":1475796832723,""rt"":7686,""response"":""1""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475796833615,""offset"":1475796835307,""rt"":1692,""response"":""2""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475796869250,""offset"":1475796875443,""rt"":6193,""response"":""4""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475796880230,""offset"":1475796883556,""rt"":3326,""response"":""4""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475796852123,""offset"":1475796856188,""rt"":4065,""response"":""2""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475796899944,""offset"":1475796902628,""rt"":2684,""response"":""3""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475796818296,""offset"":1475796824162,""rt"":5866,""response"":""4""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475796876369,""offset"":1475796879259,""rt"":2890,""response"":""3""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1475796836191,""offset"":1475796838922,""rt"":2731,""response"":""3""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475796864795,""offset"":1475796868284,""rt"":3489,""response"":""3""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475796857124,""offset"":1475796860307,""rt"":3183,""response"":""4""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1475796884455,""offset"":1475796890124,""rt"":5669,""response"":""3""}",-33.86149597168,151.20550537109,-1,
R_3rSv2ZzsT1DE2vv,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-07 14:08:10,2016-10-07 14:10:58,1,,16100712_1-g2,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1475809850063,""offset"":1475809854724,""rt"":4661,""response"":""2""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1475809751494,""offset"":1475809755764,""rt"":4270,""response"":""4""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475809855836,""offset"":1475809861324,""rt"":5488,""response"":""2""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1475809823520,""offset"":1475809831915,""rt"":8395,""response"":""3""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475809837891,""offset"":1475809840108,""rt"":2217,""response"":""4""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1475809796649,""offset"":1475809800172,""rt"":3523,""response"":""4""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475809787918,""offset"":1475809795396,""rt"":7478,""response"":""1""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1475809763129,""offset"":1475809774293,""rt"":11164,""response"":""4""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475809862575,""offset"":1475809866683,""rt"":4108,""response"":""4""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1475809757081,""offset"":1475809761852,""rt"":4771,""response"":""4""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475809801463,""offset"":1475809811365,""rt"":9902,""response"":""2""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1475809845808,""offset"":1475809848788,""rt"":2980,""response"":""2""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475809775714,""offset"":1475809786693,""rt"":10979,""response"":""2""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1475809812655,""offset"":1475809817372,""rt"":4717,""response"":""2""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475809712160,""offset"":1475809725844,""rt"":13684,""response"":""3""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1475809727112,""offset"":1475809744363,""rt"":17251,""response"":""3""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1475809833176,""offset"":1475809836660,""rt"":3484,""response"":""4""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475809841203,""offset"":1475809844492,""rt"":3289,""response"":""1""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1475809818627,""offset"":1475809822324,""rt"":3697,""response"":""1""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1475809745451,""offset"":1475809750260,""rt"":4809,""response"":""4""}",-33.86149597168,151.20550537109,-1,
R_yxXEBFFJbixutfr,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-11 10:23:31,2016-10-11 10:24:44,1,,16101109_1-g2,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1476141857637,""offset"":1476141859719,""rt"":2082,""response"":""4""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1476141866496,""offset"":1476141869103,""rt"":2607,""response"":""3""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476141863562,""offset"":1476141865567,""rt"":2005,""response"":""3""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476141880571,""offset"":1476141882638,""rt"":2067,""response"":""3""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476141860670,""offset"":1476141862630,""rt"":1960,""response"":""4""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476141849324,""offset"":1476141850959,""rt"":1635,""response"":""2""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476141841941,""offset"":1476141844334,""rt"":2393,""response"":""1""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476141875668,""offset"":1476141877094,""rt"":1426,""response"":""2""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476141872769,""offset"":1476141874742,""rt"":1973,""response"":""2""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476141830051,""offset"":1476141833791,""rt"":3740,""response"":""3""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476141883736,""offset"":1476141886950,""rt"":3214,""response"":""4""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476141839930,""offset"":1476141841031,""rt"":1101,""response"":""3""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476141854477,""offset"":1476141856728,""rt"":2251,""response"":""3""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476141825548,""offset"":1476141829094,""rt"":3546,""response"":""2""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476141837443,""offset"":1476141839031,""rt"":1588,""response"":""3""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476141870029,""offset"":1476141871855,""rt"":1826,""response"":""3""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1476141834743,""offset"":1476141836479,""rt"":1736,""response"":""4""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476141878019,""offset"":1476141879566,""rt"":1547,""response"":""3""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476141851955,""offset"":1476141853567,""rt"":1612,""response"":""2""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1476141845249,""offset"":1476141848343,""rt"":3094,""response"":""2""}",-33.86149597168,151.20550537109,-1,
R_yQufoDIjyQsG89j,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-11 10:29:40,2016-10-11 10:31:30,1,,16101109_1-g1,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1476142222039,""offset"":1476142229073,""rt"":7034,""response"":""2""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1476142218238,""offset"":1476142221105,""rt"":2867,""response"":""3""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476142213955,""offset"":1476142217329,""rt"":3374,""response"":""2""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476142249054,""offset"":1476142252338,""rt"":3284,""response"":""3""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476142264308,""offset"":1476142273346,""rt"":9038,""response"":""4""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476142234097,""offset"":1476142238722,""rt"":4625,""response"":""4""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476142284831,""offset"":1476142287074,""rt"":2243,""response"":""1""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476142274289,""offset"":1476142276818,""rt"":2529,""response"":""1""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476142210105,""offset"":1476142213041,""rt"":2936,""response"":""1""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476142245923,""offset"":1476142248098,""rt"":2175,""response"":""2""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476142229997,""offset"":1476142233137,""rt"":3140,""response"":""1""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476142194400,""offset"":1476142201377,""rt"":6977,""response"":""2""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476142239644,""offset"":1476142244978,""rt"":5334,""response"":""3""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476142288054,""offset"":1476142289794,""rt"":1740,""response"":""2""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476142277756,""offset"":1476142283907,""rt"":6151,""response"":""2""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476142202306,""offset"":1476142205121,""rt"":2815,""response"":""1""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1476142253254,""offset"":1476142255922,""rt"":2668,""response"":""3""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476142259609,""offset"":1476142263394,""rt"":3785,""response"":""2""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476142256851,""offset"":1476142258690,""rt"":1839,""response"":""3""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1476142206035,""offset"":1476142209184,""rt"":3149,""response"":""2""}",-33.86149597168,151.20550537109,-1,
R_8f5ozgo4vUDHihT,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-04 13:43:30,2016-10-04 13:44:56,0,,16100412_1-g2,1,,,,,,,,,,,,,,,,,,,,,,,-1,
R_V20jvfbaNfMcrAJ,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-11 15:48:09,2016-10-11 15:49:32,1,,16101114_1-g2,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1476161354269,""offset"":1476161357689,""rt"":3420,""response"":""2""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1476161361755,""offset"":1476161365393,""rt"":3638,""response"":""2""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476161299298,""offset"":1476161305490,""rt"":6192,""response"":""2""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476161343416,""offset"":1476161348849,""rt"":5433,""response"":""3""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476161322725,""offset"":1476161324897,""rt"":2172,""response"":""4""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476161310347,""offset"":1476161312641,""rt"":2294,""response"":""4""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476161369507,""offset"":1476161372265,""rt"":2758,""response"":""3""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476161318811,""offset"":1476161321817,""rt"":3006,""response"":""1""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476161306416,""offset"":1476161309425,""rt"":3009,""response"":""3""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476161316138,""offset"":1476161317849,""rt"":1711,""response"":""5""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476161325831,""offset"":1476161327585,""rt"":1754,""response"":""5""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476161373230,""offset"":1476161375274,""rt"":2044,""response"":""2""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476161313554,""offset"":1476161315209,""rt"":1655,""response"":""4""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476161333318,""offset"":1476161335385,""rt"":2067,""response"":""4""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476161349761,""offset"":1476161353289,""rt"":3528,""response"":""2""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476161366350,""offset"":1476161368569,""rt"":2219,""response"":""2""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1476161340002,""offset"":1476161342450,""rt"":2448,""response"":""4""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476161328518,""offset"":1476161332361,""rt"":3843,""response"":""2""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476161336319,""offset"":1476161339010,""rt"":2691,""response"":""1""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1476161358712,""offset"":1476161360817,""rt"":2105,""response"":""4""}",-33.86149597168,151.20550537109,-1,
R_ZklksmHiAw7hIQx,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-11 15:52:23,2016-10-11 15:54:05,1,,16101114_1-g1,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1476161642678,""offset"":1476161644364,""rt"":1686,""response"":""3""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1476161564774,""offset"":1476161570620,""rt"":5846,""response"":""3""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476161639287,""offset"":1476161641740,""rt"":2453,""response"":""2""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476161631479,""offset"":1476161633595,""rt"":2116,""response"":""3""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476161601382,""offset"":1476161605308,""rt"":3926,""response"":""5""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476161634563,""offset"":1476161638364,""rt"":3801,""response"":""4""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476161559840,""offset"":1476161563739,""rt"":3899,""response"":""2""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476161611832,""offset"":1476161616731,""rt"":4899,""response"":""4""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476161621683,""offset"":1476161625052,""rt"":3369,""response"":""1""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476161550681,""offset"":1476161558844,""rt"":8163,""response"":""3""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476161580145,""offset"":1476161585660,""rt"":5515,""response"":""3""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476161597392,""offset"":1476161600427,""rt"":3035,""response"":""3""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476161577287,""offset"":1476161579243,""rt"":1956,""response"":""3""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476161606313,""offset"":1476161610908,""rt"":4595,""response"":""3""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476161586620,""offset"":1476161589340,""rt"":2720,""response"":""3""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476161571676,""offset"":1476161576379,""rt"":4703,""response"":""2""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1476161594601,""offset"":1476161596460,""rt"":1859,""response"":""5""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476161617641,""offset"":1476161620748,""rt"":3107,""response"":""2""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476161626004,""offset"":1476161630507,""rt"":4503,""response"":""3""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1476161590322,""offset"":1476161593596,""rt"":3274,""response"":""1""}",-33.86149597168,151.20550537109,-1,
R_AMuhznIfZacqOFH,Default Response Set,Anonymous,,,129.78.56.141,0,2016-10-11 15:53:22,2016-10-11 15:54:48,1,,16101114_2-d2,1,"{""item"":""Am the life of the party."",""facet"":""extraversion"",""key"":""1"",""onset"":1476161640867,""offset"":1476161642667,""rt"":1800,""response"":""2""}","{""item"":""Talk to a lot of different people at parties."",""facet"":""extraversion"",""key"":""1"",""onset"":1476161678451,""offset"":1476161682282,""rt"":3831,""response"":""2""}","{""item"":""Don't talk a lot."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476161625046,""offset"":1476161629101,""rt"":4055,""response"":""4""}","{""item"":""Keep in the background."",""facet"":""extraversion"",""key"":""-1"",""onset"":1476161683263,""offset"":1476161687004,""rt"":3741,""response"":""4""}","{""item"":""Sympathize with others' feelings."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476161614292,""offset"":1476161618971,""rt"":4679,""response"":""4""}","{""item"":""Feel others' emotions."",""facet"":""agreeableness"",""key"":""1"",""onset"":1476161688042,""offset"":1476161690267,""rt"":2225,""response"":""4""}","{""item"":""Am not really interested in others."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476161676021,""offset"":1476161677517,""rt"":1496,""response"":""2""}","{""item"":""Am not interested in other people's problems."",""facet"":""agreeableness"",""key"":""-1"",""onset"":1476161652091,""offset"":1476161653917,""rt"":1826,""response"":""1""}","{""item"":""Get chores done right away."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476161643651,""offset"":1476161646397,""rt"":2746,""response"":""4""}","{""item"":""Like order."",""facet"":""conscientiousness"",""key"":""1"",""onset"":1476161654876,""offset"":1476161658236,""rt"":3360,""response"":""4""}","{""item"":""Often forget to put things back in their proper place."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476161672676,""offset"":1476161675101,""rt"":2425,""response"":""2""}","{""item"":""Make a mess of things."",""facet"":""conscientiousness"",""key"":""-1"",""onset"":1476161619934,""offset"":1476161624106,""rt"":4172,""response"":""2""}","{""item"":""Have frequent mood swings."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476161662657,""offset"":1476161664859,""rt"":2202,""response"":""2""}","{""item"":""Get upset easily."",""facet"":""neuroticism"",""key"":""1"",""onset"":1476161647314,""offset"":1476161651147,""rt"":3833,""response"":""1""}","{""item"":""Am relaxed most of the time."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476161630102,""offset"":1476161632554,""rt"":2452,""response"":""4""}","{""item"":""Seldom feel blue."",""facet"":""neuroticism"",""key"":""-1"",""onset"":1476161659212,""offset"":1476161661722,""rt"":2510,""response"":""2""}","{""item"":""Have a vivid imagination."",""facet"":""intellect"",""key"":""1"",""onset"":1476161638041,""offset"":1476161639950,""rt"":1909,""response"":""2""}","{""item"":""Have difficulty understanding abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476161665801,""offset"":1476161668189,""rt"":2388,""response"":""2""}","{""item"":""Am not interested in abstract ideas."",""facet"":""intellect"",""key"":""-1"",""onset"":1476161669116,""offset"":1476161671692,""rt"":2576,""response"":""2""}","{""item"":""Do not have a good imagination."",""facet"":""intellect"",""key"":""-1"",""onset"":1476161633480,""offset"":1476161637117,""rt"":3637,""response"":""3""}",-33.86149597168,151.20550537109,-1,
R_9oDE4Pi942SdoR7,Default Response Set,Anonymous,,,129.78.56.140,0,2016-10-05 15:22:49,2016-10-05 15:26:15,0,,16100514_2-d2,1,,,,,,,,,,,,,,,,,,,,,,,-1,
R_4ZNM8gUyuSegh0h,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-05 15:45:51,2016-10-05 15:47:15,0,,16100514_1-g2,1,,,,,,,,,,,,,,,,,,,,,,,-1,
R_5hzi7YxZ9YCndhX,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-05 15:49:57,2016-10-05 15:55:31,0,,16100514_1-g1,1,,,,,,,,,,,,,,,,,,,,,,,-1,
R_9EsIqrQDjm2oD89,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-07 10:30:32,2016-10-07 10:32:57,0,,16100709_1-g2,1,,,,,,,,,,,,,,,,,,,,,,,-1,
