V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,next_survey,uid,simv,uidq,simvq,audio,video,consent,LocationLatitude,LocationLongitude,LocationAccuracy,
R_3E9VoxgaPwt5VOF,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-11 09:09:18,2016-10-11 09:09:48,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16101109_1-g2,simon_0.1.13.9001,16101109_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_cAB5Nb911h6CysN,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-11 14:14:06,2016-10-11 14:14:25,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16101114_1-g1,simon_0.1.13.9001,16101114_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_sCmDscemSwaGppf,Default Response Set,Anonymous,,,129.78.56.141,0,2016-10-11 14:14:55,2016-10-11 14:15:16,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16101114_2-d2,simon_0.1.13.9001,16101114_2-d2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_3MJBS8eWbPxbb82,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-11 14:15:42,2016-10-11 14:16:34,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16101114_1-g2,simon_0.1.13.9001,16101114_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_231fAVJlOIpNODO,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-26 09:13:00,2016-10-26 09:17:06,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102609_1-g2,simon_0.1.13.9001,16102609_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_qDTi3Uk384UycI9,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-26 09:15:28,2016-10-26 09:18:07,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102609_1-g1,simon_0.1.13.9001,16102609_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_2B5JPF1pt7mr8n4,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-26 14:07:39,2016-10-26 14:10:28,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102614_1-g2,simon_0.1.13.9001,16102614_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_3KoRQkL1dqKpjnr,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-26 14:14:55,2016-10-26 14:18:16,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102614_1-g1,simon_0.1.13.9001,16102614_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_2RQFJiqJS3ktmln,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-27 12:06:15,2016-10-27 12:09:44,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102712_1-g2,simon_0.1.13.9001,16102712_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_33fnUPGXwNgzCAe,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-27 12:08:13,2016-10-27 12:10:49,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102712_1-g1,simon_0.1.13.9001,16102712_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_2TYuG0oHWE6HdH8,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-28 09:11:02,2016-10-28 09:11:19,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102809_1-g2,simon_0.1.13.9001,16102809_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_28YR7Caky7qB6Jc,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-28 09:24:57,2016-10-28 09:25:26,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102809_1-g1,simon_0.1.13.9001,16102809_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_3QPZjnNGLK0qYhl,Default Response Set,Anonymous,,,129.78.56.141,0,2016-10-28 09:23:01,2016-10-28 09:26:37,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102809_2-d2,simon_0.1.13.9001,16102809_2-d2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_ZvEasnhka1tUSVX,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-28 12:00:49,2016-10-28 12:01:01,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102812_1-g1,simon_0.1.13.9001,16102812_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_2D09N8vyhWAqEFI,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-28 12:05:40,2016-10-28 12:06:10,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102812_1-g2,simon_0.1.13.9001,16102812_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_8GKlnrq1tajL7kB,Default Response Set,Anonymous,,,129.78.56.133,0,2016-10-28 12:12:56,2016-10-28 12:15:39,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16102812_1-g1,simon_0.1.13.9001,16102812_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_1Qae3GtqIkehAvU,Default Response Set,Anonymous,,,129.78.56.139,0,2016-10-31 09:20:56,2016-10-31 09:21:10,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16103109_1-g2,simon_0.1.13.9001,16103109_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_24Upf0gv8jXCcuZ,Default Response Set,Anonymous,,,129.78.56.139,0,2016-11-01 12:05:02,2016-11-01 12:05:11,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16110112_1-g2,simon_0.1.13.9001,16110112_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_1DZ0QDQ1YeGXfxd,Default Response Set,Anonymous,,,129.78.56.139,0,2016-11-02 14:09:21,2016-11-02 14:09:38,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16110214_1-g2,simon_0.1.13.9001,16110214_1-g2,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>FOR ALL RESEARCH ANALYSIS, PUBLICATION AND PRESENTATION PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
R_2dRoKNhDuSgqwrQ,Default Response Set,Anonymous,,,129.78.56.133,0,2016-11-02 14:10:35,2016-11-02 14:10:43,1,https://sydneypsy.qualtrics.com/SE/?SID=SV_aguB3vGumKXGhBr,16110214_1-g1,simon_0.1.13.9001,16110214_1-g1,simon_0.1.13.9001,<u>I GIVE PERMISSION</u> for the researchers to make audio recordings of my participation,"<u>I GIVE PERMISSION</u> for the researchers to use video clips and still shots of me, whether or not they have the potential to identify me, <u>BUT ONLY FOR RESEARCH ANALYSIS PURPOSES</u>.",Yes,-33.86149597168,151.20550537109,-1,
